Breed,Source,Organization,Country,TransboundaryName
Samoyed,https://www.akc.org/dog-breeds/samoyed/,AKC,USA,Samoyed
Schapendoes,https://www.akc.org/dog-breeds/schapendoes/,AKC,USA,Schapendoes
Schipperke,https://www.akc.org/dog-breeds/schipperke/,AKC,USA,Schipperke
Scottish Deerhound,https://www.akc.org/dog-breeds/scottish-deerhound/,AKC,USA,Scottish Deerhound
Scottish Terrier,https://www.akc.org/dog-breeds/scottish-terrier/,AKC,USA,Scottish Terrier
Sealyham Terrier,https://www.akc.org/dog-breeds/sealyham-terrier/,AKC,USA,Sealyham Terrier
Segugio Italiano,https://www.akc.org/dog-breeds/segugio-italiano/,AKC,USA,Segugio Italiano
Shetland Sheepdog,https://www.akc.org/dog-breeds/shetland-sheepdog/,AKC,USA,Shetland Sheepdog
Shiba Inu,https://www.akc.org/dog-breeds/shiba-inu/,AKC,USA,Shiba Inu
Shih Tzu,https://www.akc.org/dog-breeds/shih-tzu/,AKC,USA,Shih Tzu
Shikoku,https://www.akc.org/dog-breeds/shikoku/,AKC,USA,Shikoku
Siberian Husky,https://www.akc.org/dog-breeds/siberian-husky/,AKC,USA,Siberian Husky
Silky Terrier,https://www.akc.org/dog-breeds/silky-terrier/,AKC,USA,Silky Terrier
Skye Terrier,https://www.akc.org/dog-breeds/skye-terrier/,AKC,USA,Skye Terrier
Sloughi,https://www.akc.org/dog-breeds/sloughi/,AKC,USA,Sloughi
Slovakian Wirehaired Pointer,https://www.akc.org/dog-breeds/slovakian-wirehaired-pointer/,AKC,USA,Slovakian Wirehaired Pointer
Slovensky Cuvac,https://www.akc.org/dog-breeds/slovensky-cuvac/,AKC,USA,Slovensky Cuvac
Slovensky Kopov,https://www.akc.org/dog-breeds/slovensky-kopov/,AKC,USA,Slovensky Kopov
Small Munsterlander,https://www.akc.org/dog-breeds/small-munsterlander/,AKC,USA,Small Munsterlander
Smooth Fox Terrier,https://www.akc.org/dog-breeds/smooth-fox-terrier/,AKC,USA,Smooth Fox Terrier
Soft Coated Wheaten Terrier,https://www.akc.org/dog-breeds/soft-coated-wheaten-terrier/,AKC,USA,Soft Coated Wheaten Terrier
Spanish Mastiff,https://www.akc.org/dog-breeds/spanish-mastiff/,AKC,USA,Spanish Mastiff
Spanish Water Dog,https://www.akc.org/dog-breeds/spanish-water-dog/,AKC,USA,Spanish Water Dog
Spinone Italiano,https://www.akc.org/dog-breeds/spinone-italiano/,AKC,USA,Spinone Italiano
Stabyhoun,https://www.akc.org/dog-breeds/stabyhoun/,AKC,USA,Stabyhoun
Staffordshire Bull Terrier,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/,AKC,USA,Staffordshire Bull Terrier
Standard Schnauzer,https://www.akc.org/dog-breeds/standard-schnauzer/,AKC,USA,Standard Schnauzer
Sussex Spaniel,https://www.akc.org/dog-breeds/sussex-spaniel/,AKC,USA,Sussex Spaniel
Swedish Lapphund,https://www.akc.org/dog-breeds/swedish-lapphund/,AKC,USA,Swedish Lapphund
Swedish Vallhund,https://www.akc.org/dog-breeds/swedish-vallhund/,AKC,USA,Swedish Vallhund
Taiwan Dog,https://www.akc.org/dog-breeds/taiwan-dog/,AKC,USA,Taiwan Dog
Teddy Roosevelt Terrier,https://www.akc.org/dog-breeds/teddy-roosevelt-terrier/,AKC,USA,Teddy Roosevelt Terrier
