Breed	Variety	Breed Group (KC)	Import Status (KC)	Source (KC)
Pyrenean Mountain Dog		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/pyrenean-mountain-dog/
Pyrenean Sheepdog	Long Haired	Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/pyrenean-sheepdog-long-haired/
Pyrenean Sheepdog	Smooth Faced	Pastoral	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/pyrenean-sheepdog-smooth-faced-imp/
Retriever	Chesapeake Bay	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/retriever-chesapeake-bay/
Retriever	Curly Coated	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/retriever-curly-coated/
Retriever	Flat Coated	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/retriever-flat-coated/
Retriever	Golden	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/retriever-golden/
Retriever	Labrador	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/retriever-labrador/
Retriever	Nova Scotia Duck Tolling	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/retriever-nova-scotia-duck-tolling/
Rhodesian Ridgeback		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/rhodesian-ridgeback/
Rottweiler		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/rottweiler/
Russian Black Terrier		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/russian-black-terrier/
Russian Toy		Toy	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/russian-toy-imp/
Saluki		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/saluki/
Samoyed		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/samoyed/
Schipperke		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/schipperke/
Schnauzer		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/schnauzer/
Scottish Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/scottish-terrier/
Sealyham Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/sealyham-terrier/
Shar Pei		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/shar-pei/
Shetland Sheepdog		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/shetland-sheepdog/
Shih Tzu		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/shih-tzu/
Siberian Husky		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/siberian-husky/
Skye Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/skye-terrier/
Sloughi		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/sloughi/
Slovakian Rough Haired Pointer		Gundog	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/slovakian-rough-haired-pointer-imp/
Small Munsterlander		Gundog	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/small-munsterlander-imp/
Soft Coated Wheaten Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/soft-coated-wheaten-terrier/
Spaniel	American Cocker	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/spaniel-american-cocker/
Spaniel	American Water	Gundog	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/spaniel-american-water-imp/
Spaniel	Clumber	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/spaniel-clumber/
Spaniel	Cocker	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/spaniel-cocker/
Spaniel	English Springer	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/
Spaniel	Field	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/spaniel-field/
Spaniel	Irish Water	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/spaniel-irish-water/
Spaniel	Sussex	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/spaniel-sussex/
Spaniel	Welsh Springer	Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/spaniel-welsh-springer/
